TipLabel,distance_from_brown
Anthornis_melanura,3491.3288519401035
Anthoscopus_caroli,3566.320398782658
Anthoscopus_flavifrons,5756.605918380864
Anthoscopus_minutus,3291.2547340289943
Anthoscopus_musculus,3704.911163833962
Anthoscopus_parvulus,5365.9523532577905
Anthoscopus_punctifrons,4059.4853664039074
Anthreptes_anchietae,5166.870740281763
Anthreptes_aurantium,4420.429233097352
Anthreptes_collaris,5943.960777146352
Anthreptes_fraseri,4880.441663109318
Anthreptes_gabonicus,3322.9631029605575
Anthreptes_longuemarei,4058.752298878037
Anthreptes_malacensis,5939.879155612258
Anthreptes_metallicus,4176.85802292218
Anthreptes_neglectus,4099.335653518651
Anthreptes_orientalis,4214.421691184485
Anthreptes_pallidigaster,3958.030811599336
Anthreptes_platurus,6009.058957214386
Anthreptes_rectirostris,6011.249066864635
Anthreptes_reichenowi,3825.5976224086826
Anthreptes_rhodolaemus,4917.33800456831
Anthreptes_rubritorques,4951.780790066642
Anthreptes_simplex,4205.393186256671
Anthreptes_singalensis,5526.019540868212
Anthus_antarcticus,2617.0093155123045
Anthus_berthelotii,2789.7950164146555
Anthus_bogotensis,3583.195750886255
Anthus_brachyurus,2179.538168700748
Anthus_caffer,2166.449427636784
Anthus_campestris,2776.54284215897
Anthus_cervinus,4602.954677351239
Anthus_chacoensis,2363.749205296511
Anthus_chloris,5848.292022071877
Anthus_correndera,2873.1861452992343
Anthus_crenatus,2846.9489022268517
Anthus_furcatus,2523.4169572129645
Anthus_godlewskii,3354.8413141664046
Anthus_gustavi,2921.423982744317
Anthus_gutturalis,2880.6545349816274
Anthus_hellmayri,2629.981547476391
Anthus_hodgsoni,2940.918602232693
Anthus_hoeschi,3631.6167703526157
Anthus_leucophrys,2895.682895290626
Anthus_lineiventris,2639.615890282988
Anthus_longicaudatus,3065.1944187801378
Anthus_lutescens,1884.5240412455614
Anthus_melindae,3185.1614487457277
Anthus_nattereri,3941.80452583888
Anthus_nilghiriensis,3604.7642149409517
Anthus_novaeseelandiae,2696.5497926437924
Anthus_pallidiventris,2592.2786075054005
Anthus_petrosus,2840.552508923418
Anthus_pratensis,2806.566187998189
Anthus_richardi,3367.304461256252
Anthus_roseatus,2247.501992384276
Anthus_rubescens,4357.458029254551
Anthus_rufulus,4687.0101391719445
Anthus_similis,3779.293261491466
Anthus_sokokensis,3479.5521452659746
Anthus_spinoletta,4009.3515849231812
Anthus_spragueii,2500.538042698621
Anthus_sylvanus,2990.860144205207
Anthus_trivialis,3025.9361879797975
Anthus_vaalensis,2834.119585293881
Antilophia_bokermanni,4825.359963449474
Antilophia_galeata,5370.317303637898
Anumbius_annumbi,3615.256220122946
Apalis_alticola,3619.470431011291
Apalis_argentea,3897.386645045755
Apalis_bamendae,3686.4220413372936
Apalis_binotata,4842.632088161758
Apalis_chapini,3421.8038858301456
Apalis_chariessa,5791.987701565292
Apalis_chirindensis,3476.0686936740535
Apalis_cinerea,3890.603864896892
Apalis_flavida,5700.335985425536
Apalis_flavigularis,6765.346214659666
Apalis_fuscigularis,4051.9851309893584
Apalis_goslingi,3456.805137952403
Apalis_jacksoni,6887.409026364636
Apalis_karamojae,3924.8317372936035
Apalis_lynesi,6667.639542156417
Apalis_melanocephala,4153.624949092829
Apalis_nigriceps,5112.82367460431
Apalis_personata,4784.92744598861
Apalis_porphyrolaema,3737.9670136172927
Apalis_ruddi,4463.953419294812
Apalis_rufogularis,3730.2252464284793
Apalis_sharpii,3324.863088191078
Apalis_thoracica,3883.1840585235973
Apalopteron_familiare,6006.390276979001
Aphanotriccus_audax,3072.677363706399
Aphanotriccus_capitalis,5344.7634295013695
Aphelocephala_leucopsis,3930.7839899581045
Aphelocephala_nigricincta,3621.7245363402603
Aphelocephala_pectoralis,3961.347771648059
Aphelocoma_californica,4944.266485826163
Aphelocoma_coerulescens,3737.35015195058
Aphelocoma_insularis,5022.131213921859
Aphelocoma_ultramarina,4732.87199679263
Aphelocoma_unicolor,5306.797694233073
Aphrastura_masafuerae,3198.4750358256933
Aphrastura_spinicauda,4260.66506206662
Aplonis_atrifusca,2632.5732907924166
Aplonis_brunneicapillus,2469.920104391849
Aplonis_cantoroides,3041.842077684783
Aplonis_cinerascens,1541.2801746417188
Aplonis_crassa,2661.2927921372375
Aplonis_dichroa,3469.8862602672675
Aplonis_feadensis,3374.0348593606573
Aplonis_grandis,3924.2821322506106
Aplonis_insularis,3578.65662785117
Aplonis_magna,3751.8688682130896
Aplonis_metallica,2661.050887804393
Aplonis_minor,3517.2683145612605
Aplonis_mysolensis,3557.7990440935932
Aplonis_mystacea,3130.567646681351
Aplonis_opaca,3369.6251181658527
Aplonis_panayensis,2165.963928815742
Aplonis_pelzelni,1280.3061671610387
Aplonis_santovestris,3002.4936791350733
Aplonis_striata,3312.438400794637
Aplonis_tabuensis,3056.5781162051335
Aplonis_zelandica,2122.946354158089
Arachnothera_affinis,4074.8907573414886
Arachnothera_chrysogenys,4100.071913016798
Arachnothera_clarae,2945.526677533656
Arachnothera_crassirostris,3760.1234875638893
Arachnothera_flavigaster,4643.887175305313
Arachnothera_juliae,1590.2551434399384
Arachnothera_longirostra,3805.9473168868376
Arachnothera_magna,3210.955935207112
Arachnothera_robusta,3898.981763871252
Archboldia_papuensis,5825.389390844839
Arremon_abeillei,3863.1244073508465
Arremon_aurantiirostris,3912.2337884853596
Arremon_brunneinucha,3933.820394754483
Arremon_castaneiceps,3882.993121331389
Arremon_crassirostris,3876.4741368281016
Arremon_flavirostris,3816.404645644741
Arremon_franciscanus,4040.0774818799323
Arremon_schlegeli,3948.3353986387547
