COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Tacarcuna Bush-tanager,Chlorospingus tacarcunae,LC,Chlorospingus_tacarcunae
Pirre Bush-tanager,Chlorospingus inornatus,LC,Chlorospingus_inornatus
Dusky Bush-tanager,Chlorospingus semifuscus,LC,Chlorospingus_semifuscus
Sooty-capped Bush-tanager,Chlorospingus pileatus,LC,Chlorospingus_pileatus
Short-billed Bush-Tanager,Chlorospingus parvirostris,LC,Chlorospingus_parvirostris
Yellow-throated Bush-tanager,Chlorospingus flavigularis,LC,Chlorospingus_flavigularis
Ashy-throated Bush-tanager,Chlorospingus canigularis,LC,Chlorospingus_canigularis
Sooty-faced Finch,Arremon crassirostris,LC,Arremon_crassirostris
Olive Finch,Arremon castaneiceps,NT,Arremon_castaneiceps
Chestnut-capped Brush-finch,Arremon brunneinucha,LC,Arremon_brunneinucha
Green-striped Brush-finch,Arremon virenticeps,LC,Arremon_virenticeps
White-browed Brush-finch,Arremon torquatus,LC,Arremon_torquatus
Saffron-billed Sparrow,Arremon flavirostris,LC,Arremon_flavirostris
Pectoral Sparrow,Arremon taciturnus,LC,Arremon_taciturnus
Half-collared Sparrow,Arremon semitorquatus,LC,Arremon_semitorquatus
Sao Francisco Sparrow,Arremon franciscanus,NT,Arremon_franciscanus
Black-capped Sparrow,Arremon abeillei,LC,Arremon_abeillei
Orange-billed Sparrow,Arremon aurantiirostris,LC,Arremon_aurantiirostris
Golden-winged Sparrow,Arremon schlegeli,LC,Arremon_schlegeli
Collared Towhee,Pipilo ocai,LC,Pipilo_ocai
Green-tailed Towhee,Pipilo chlorurus,LC,Pipilo_chlorurus
Spotted Towhee,Pipilo maculatus,LC,Pipilo_maculatus
Eastern Towhee,Pipilo erythrophthalmus,LC,Pipilo_erythrophthalmus
Yellow-thighed Finch,Pselliophorus tibialis,LC,Pselliophorus_tibialis
Yellow-green Finch,Pselliophorus luteoviridis,VU,Pselliophorus_luteoviridis
Rufous-capped Brush-finch,Atlapetes pileatus,LC,Atlapetes_pileatus
Moustached Brush-finch,Atlapetes albofrenatus,LC,Atlapetes_albofrenatus
Ochre-breasted Brush-finch,Atlapetes semirufus,LC,Atlapetes_semirufus
Tepui Brush-finch,Atlapetes personatus,LC,Atlapetes_personatus
White-naped Brush-finch,Atlapetes albinucha,LC,Atlapetes_albinucha
Santa Marta Brush-finch,Atlapetes melanocephalus,LC,Atlapetes_melanocephalus
Pale-naped Brush-finch,Atlapetes pallidinucha,LC,Atlapetes_pallidinucha
Yellow-headed Brush-finch,Atlapetes flaviceps,EN,Atlapetes_flaviceps
Dusky-headed Brush-finch,Atlapetes fuscoolivaceus,NT,Atlapetes_fuscoolivaceus
Tricolored Brush-finch,Atlapetes tricolor,LC,Atlapetes_tricolor
White-rimmed Brush-finch,Atlapetes leucopis,LC,Atlapetes_leucopis
Yellow-breasted Brush-finch,Atlapetes latinuchus,LC,Atlapetes_latinuchus
Rufous-eared Brush-finch,Atlapetes rufigenis,NT,Atlapetes_rufigenis
Apurimac Brush-finch,Atlapetes forbesi,LC,Atlapetes_forbesi
Black-spectacled Brush-finch,Atlapetes melanopsis,EN,Atlapetes_melanopsis
Slaty Brush-finch,Atlapetes schistaceus,LC,Atlapetes_schistaceus
White-winged Brush-finch,Atlapetes leucopterus,LC,Atlapetes_leucopterus
White-headed Brush-finch,Atlapetes albiceps,LC,Atlapetes_albiceps
Pale-headed Brush-finch,Atlapetes pallidiceps,EN,Atlapetes_pallidiceps
Bay-crowned Brush-finch,Atlapetes seebohmi,LC,Atlapetes_seebohmi
Rusty-bellied Brush-finch,Atlapetes nationi,LC,Atlapetes_nationi
Cuzco Brush-finch,Atlapetes canigenis,LC,Atlapetes_canigenis
Vilcabamba Brush-finch,Atlapetes terborghi,NT,Atlapetes_terborghi
Black-faced Brush-finch,Atlapetes melanolaemus,LC,Atlapetes_melanolaemus
Bolivian Brush-finch,Atlapetes rufinucha,LC,Atlapetes_rufinucha
Fulvous-headed Brush-finch,Atlapetes fulviceps,LC,Atlapetes_fulviceps
Yellow-striped Brush-finch,Atlapetes citrinellus,LC,Atlapetes_citrinellus
Large-footed Finch,Pezopetes capitalis,LC,Pezopetes_capitalis
Zapata Sparrow,Torreornis inexpectata,VU,Torreornis_inexpectata
Rusty-crowned Ground-sparrow,Melozone kieneri,LC,Melozone_kieneri
Canyon Towhee,Melozone fusca,LC,Pipilo_fuscus
White-throated Towhee,Melozone albicollis,LC,Pipilo_albicollis
California Towhee,Melozone crissalis,LC,Pipilo_crissalis
Abert's Towhee,Melozone aberti,LC,Pipilo_aberti
Prevost's Ground-sparrow,Melozone biarcuata,LC,Melozone_biarcuata
Costa Rican Ground-sparrow,Melozone cabanisi,LC,Melozone_cabanisi
White-eared Ground-sparrow,Melozone leucotis,LC,Melozone_leucotis
Rusty Sparrow,Aimophila rufescens,LC,Aimophila_rufescens
Rufous-crowned Sparrow,Aimophila ruficeps,LC,Aimophila_ruficeps
Oaxaca Sparrow,Aimophila notosticta,LC,Aimophila_notosticta
Volcano Junco,Junco vulcani,LC,Junco_vulcani
Dark-eyed Junco,Junco hyemalis,LC,Junco_hyemalis
Guadalupe Junco,Junco insularis,EN,Junco_insularis
Yellow-eyed Junco,Junco phaeonotus,LC,Junco_phaeonotus
Rufous-collared Sparrow,Zonotrichia capensis,LC,Zonotrichia_capensis
Harris's Sparrow,Zonotrichia querula,NT,Zonotrichia_querula
White-throated Sparrow,Zonotrichia albicollis,LC,Zonotrichia_albicollis
White-crowned Sparrow,Zonotrichia leucophrys,LC,Zonotrichia_leucophrys
Golden-crowned Sparrow,Zonotrichia atricapilla,LC,Zonotrichia_atricapilla
Red Fox-sparrow,Passerella iliaca,LC,Passerella_iliaca
American Tree Sparrow,Passerella arborea,LC,Spizella_arborea
Le Conte's Sparrow,Ammospiza leconteii,LC,Ammodramus_leconteii
Seaside Sparrow,Ammospiza maritima,LC,Ammodramus_maritimus
Nelson's Sparrow,Ammospiza nelsoni,LC,Ammodramus_nelsoni
Saltmarsh Sparrow,Ammospiza caudacuta,EN,Ammodramus_caudacutus
Vesper Sparrow,Pooecetes gramineus,LC,Pooecetes_gramineus
Striped Sparrow,Oriturus superciliosus,LC,Oriturus_superciliosus
Savannah Sparrow,Passerculus sandwichensis,LC,Passerculus_sandwichensis
Baird's Sparrow,Passerculus bairdii,LC,Ammodramus_bairdii
Henslow's Sparrow,Passerculus henslowii,LC,Ammodramus_henslowii
Sierra Madre Sparrow,Xenospiza baileyi,EN,Xenospiza_baileyi
Song Sparrow,Melospiza melodia,LC,Melospiza_melodia
Lincoln's Sparrow,Melospiza lincolnii,LC,Melospiza_lincolnii
Swamp Sparrow,Melospiza georgiana,LC,Melospiza_georgiana
Wrenthrush,Zeledonia coronata,LC,Zeledonia_coronata
Yellow-headed Warbler,Teretistris fernandinae,LC,Teretistris_fernandinae
Oriente Warbler,Teretistris fornsi,LC,Teretistris_fornsi
Yellow-breasted Chat,Icteria virens,LC,Icteria_virens
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,LC,Xanthocephalus_xanthocephalus
Bobolink,Dolichonyx oryzivorus,LC,Dolichonyx_oryzivorus
Western Meadowlark,Sturnella neglecta,LC,Sturnella_neglecta
Eastern Meadowlark,Sturnella magna,NT,Sturnella_magna
Red-breasted Blackbird,Leistes militaris,LC,Sturnella_militaris
White-browed Blackbird,Leistes superciliaris,LC,Sturnella_superciliaris
Peruvian Meadowlark,Leistes bellicosus,LC,Sturnella_bellicosa
Pampas Meadowlark,Leistes defilippii,VU,Sturnella_defilippii
Long-tailed Meadowlark,Leistes loyca,LC,Sturnella_loyca
Yellow-billed Cacique,Amblycercus holosericeus,LC,Amblycercus_holosericeus
Yellow-winged Cacique,Cassiculus melanicterus,LC,Cacicus_melanicterus
Chestnut-headed Oropendola,Psarocolius wagleri,LC,Psarocolius_wagleri
Dusky-green Oropendola,Psarocolius atrovirens,LC,Psarocolius_atrovirens
Russet-backed Oropendola,Psarocolius angustifrons,LC,Psarocolius_angustifrons
Crested Oropendola,Psarocolius decumanus,LC,Psarocolius_decumanus
Green Oropendola,Psarocolius viridis,LC,Psarocolius_viridis
Para Oropendola,Psarocolius bifasciatus,LC,Psarocolius_bifasciatus
Montezuma Oropendola,Psarocolius montezuma,LC,Psarocolius_montezuma
Black Oropendola,Psarocolius guatimozinus,LC,Psarocolius_guatimozinus
Baudo Oropendola,Psarocolius cassini,EN,Psarocolius_cassini
Solitary Cacique,Cacicus solitarius,LC,Cacicus_solitarius
Golden-winged Cacique,Cacicus chrysopterus,LC,Cacicus_chrysopterus
Ecuadorian Cacique,Cacicus sclateri,LC,Cacicus_sclateri
Selva Cacique,Cacicus koepckeae,EN,Cacicus_koepckeae
Scarlet-rumped Cacique,Cacicus microrhynchus,LC,Cacicus_microrhynchus
Subtropical Cacique,Cacicus uropygialis,LC,Cacicus_uropygialis
Yellow-rumped Cacique,Cacicus cela,LC,Cacicus_cela
